url,action,fields
https://www.madfientist.com/first-year-of-freedom/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/first-year-of-freedom/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/time-has-finally-come/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/time-has-finally-come/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/time-has-finally-come/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/time-has-finally-come/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/time-has-finally-come/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting//,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting//,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/power-of-quitting//,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting//,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting//,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/power-of-quitting/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/power-of-quitting/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/semiretirement/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/semiretirement/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/semiretirement/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/semiretirement/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/semiretirement/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/emotions-of-fi/,https://app.convertkit.com/landing_pages/48614/subscribe,id|first_name|email
https://www.madfientist.com/emotions-of-fi/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/emotions-of-fi/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/emotions-of-fi/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/emotions-of-fi/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/happiness-through-subtraction/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/happiness-through-subtraction/,https://www.madfientist.com/wp-comments-post.php,author|email|submit|comment_post_ID|comment_parent|akismet_comment_nonce|ak_js
https://www.madfientist.com/happiness-through-subtraction/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/happiness-through-subtraction/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/happiness-through-subtraction/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/category/tax-avoidance/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
https://www.madfientist.com/category/tax-avoidance/,https://app.convertkit.com/landing_pages/13128/subscribe,id|first_name|email
https://www.madfientist.com/category/tax-avoidance/,https://app.convertkit.com/landing_pages/20574/subscribe,id|first_name|email
https://www.madfientist.com/s-corp/,https://app.convertkit.com/landing_pages/13123/subscribe,id|first_name|email
